subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Drama and theatre,Question Papers of NET December 2015,Paper III,1,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I 			सूची - II (a) एक्सप्रेसनिज्म 	(i) मेटरलीन्क (b) नेचुरलिज्म 		(ii) एंटोनिन आर्तोद (c) सॅरिअॅलिज्म 	(iii) एमिल जोला (d) सिम्बोलिज्म 		(iv) युजिन ओ 'निल कूट : (a) (b) (c) (d),(iv) (iii) (ii) (i),(i) (ii) (iii) (iv),(ii) (i) (iv) (iii),(iii) (iv) (i) (ii),A,DRA_86c191be,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,2,"अभिकथन (A) : वख़्तागॉव के अनुसार जीवन के सतही नकल को भूल जाएं, रंगमंच का अपना यथार्थवाद और अपना सत्य होता है। कारण (R) : अनुभव और संवेगों का सत्य जो रंगमंच पर कल्पना और नाटकीय माध्यम की सहायता से अभिव्यक्त किया जाता है। कूट :",(A) और (R) दोनों सत्य हैं।,(A) सत्य है और (R) गलत है।,(A) और (R) दोनों गलत हैं।,(A) गलत है और (R) सही है।,A,DRA_170a3b0f,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,3,आवाज उत्पन्न करने वाले अंगों के निम्न तंत्रों का सही क्रम चुनिए :,"वाइब्रेटर, मोटर, रेज़ोनेटर, आर्टिक्युलेटरी","रेज़ोनेटर, वाइब्रेटर, मोटर, आर्टिक्युलेटरी","मोटर, वाइब्रेटर, रेज़ोनेटर, आर्टिक्युलेटरी","वाइब्रेटर, रेज़ोनेटर, आर्टिक्युलेटरी, मोटर",C,DRA_7525b8b6,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,4,विषम को चुनिए :,तमाशा,ख्याल,बुराकथा,निनज्योजोरूरी,D,DRA_00e06986,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,5,प्रख्यात निर्देशक सतीश आनंद जुड़े हैं :,पडातिक,कला संगम,रंगायन,फोर्थवॉल थियेटर ग्रुप,B,DRA_1002b70f,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,6,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I 				सूची - II (a) जुडिथ मलिना 		(i) ओपन थियेटर (b) जोसेफ चैकिन 		(ii) ब्रेड एंड पपेट थियेटर (c) रिचर्ड फोरमैन 		(iii) लिविंग थियेटर (d) पीटर शुमान् 			(iv) ओंटोलोजिकल हिस्टरिक थियेटर कूट : (a) (b) (c) (d),(ii) (iii) (i) (iv),(i) (iv) (iii) (ii),(iii) (i) (iv) (ii),(iv) (ii) (iii) (i),C,DRA_abe30e58,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,7,अभिकथन (A) : शेक्सपियर के नाटक (ट्रेजडी) मानव संघर्ष तथा समाज में लोगों के विभिन्न और विचित्र व्यवहार पर आधारित हैं। पूरी कहानी इस संघर्ष पर केन्द्रित होती है। कारण (R) : उनके अधिकांश चरित्र मानव व्यवहार की वास्तविकता तथा हमारे समाज का सही प्रतिबिंब दर्शाते हैं। कूट :,(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,(A) सही है (R) गलत है।,(A) गलत है (R) सही है।,A,DRA_05dcbc26,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,8,निम्नलिखित का सही क्रम का पता लगाइए :,"कृपाचार्य, दुशला, द्रौपदी, एकलव्य","दुशला, कृपाचार्य, द्रौपदी, एकलव्य","दुशला, द्रौपदी, कृपाचार्य, एकलव्य","एकलव्य, दुशला, द्रौपदी, कृपाचार्य",A,DRA_426ba0ea,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,9,इनमें से कौन-सा अलग है ?,साइलेंस ! द कोर्ट इज़ इन सेशन,सखाराम बाइन्डर,वलचर्स,घासीराम कोटवाल,D,DRA_514bdbb7,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,10,निम्नलिखित में से कौन रंगमंच के दो तरफ के क्षेत्र को इंगित करता है जो खम्भों से बना होता है और संस्कृत थियेटर में जिसका प्रयोग विशेष दृश्यों के मंचन के लिए किया जाता है ?,रंगपीठ,मत्तवारणी,रंगशीर्ष,कुतपविन्यास,B,DRA_e65470d3,Normal MCQ
