subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Percussion Instruments,Question Papers of NET December 2015,Paper III,1,फरद-गत के निर्माण एवं प्रचार का श्रेय बनारस घराने के किस तबला वादक को जाता है ?,पं. राम सहाय,पं. वीरु मिश्रा,पं. किशन महाराज,पं. बैजू महाराज,D,PER_588da839,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,2,उ. नत्थू खाँ व उ. शम्मू खाँ इन दोनों से शिक्षा प्राप्त करने वाले तबला वादक है :,उ. हबीबुद्दीन खाँ,उ. निजामुद्दीन खाँ,उ. रमजान खाँ,उ. शमशुद्दीन खाँ,A,PER_07bdbe6f,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,3,ए.आर. क़ुरैशी के नाम से फिल्मों में संगीत देने वाले तबलावादक का नाम है :,इक़बाल कुरैशी,उस्ताद अमानत राशिद,उस्ताद अल्ला रखा खाँ,उस्ताद अहमद रज़ा,C,PER_37f4a951,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,4,उन्नत किस्म के अवनद्ध वाद्यों के प्रवर्तक है :,स्वाति,कोहल,भरत,दत्तिल,A,PER_3cbb4452,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,5,पंजाब की संगीत जीवी जाति :,कोली,ढाढ़ी,किन्नर,गांधर्व,B,PER_d8319385,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,6,उ. अमीर हुसैन का जन्म वर्ष क्या है ?,1899,1902,1914,1891,A,PER_6cde575f,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,7,पं. स्वपन चौधरी किस घराने के प्रतिनिधि कलाकार है ?,लखनऊ,बनारस,दिल्ली,अजराड़ा,A,PER_37db04d0,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,8,किस ताल के ठेके में खाली के स्थान पर खुला बोल बजता है ?,रूपक,तेवरा,सूलताल,धमार,D,PER_97903db5,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,9,स्टाफ नोटेशन में संगीत रचनाओं को ताल खण्डों में विभाजित करने वाली खड़ी रेखाओं को कहते है :,एसेनसियल की सिगनेचर,की सिगनेचर,मेजर,बार लाइन,D,PER_afcc292c,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,10,"""ताल लगे, सब साजै, के सो ततही तुम मान। चरम मढ़यों जा कि मुखर, वितत सु कहे बखान।।"" यह वाद्य लक्षण किस ग्रन्थ से है ?",संगीत सुधा,रत्नाकर,संगीत दर्पण,संगीत सार,D,PER_3b1c64d4,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,11,"किस ग्रन्थ में सम पाणी, अव पाणी व उपरी पाणी का वर्णन ग्रह के सन्दर्भ में मिलता है ?",बृहद्देशी,संगीत समय सार,नाट्य शास्त्र,रागार्णव,C,PER_38979983,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,12,गज से बजाये जाने वाला वाद्य है :,इसराज,सरोद,विचित्र वीणा,सुर-बहार,A,PER_06abe2de,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,13,क्षुद्र घन्टिका का दूसरा नाम है :,घुंघरू,घण्टा,झाँझ,नल तरंग,A,PER_62c20523,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,14,"पं. ओंकारनाथ ठाकुर द्वारा"" प्रोफेसर ऑफ पखावज"" से सम्मानित पखावज-वादक है :",राजा छत्रपति सिंह,राजा चक्रधर सिंह,स्वामी पागल दास,पं. सखा राम,A,PER_4595a4df,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,15,"किस पखावज-वादक को ""विद्या-कला-विशारद"" के उपाधि से विभूषित किया गया ?",पर्वत सिंह,कोदऊ सिंह,बाबू जोध सिंह,नाना पानसे,A,PER_84e00944,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,16,भारत सरकार द्वारा प्रदत्त चारों नागरिक सम्मान किस कलाकार को प्राप्त हैं ?,उ. बिसमिल्लाह खाँ,पं. रविशंकर,उ. अली अकबर खाँ,पं. जसराज,A,PER_8aa02b09,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,17,पं. गामा महाराज के पिता है :,पं. गौहरी मिश्र,पं. बिक्कू मिश्र,पं. कण्ठे महाराज,पं. लच्छू महाराज,B,PER_2333a0ee,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,18,मन्नूजी मृदंगाचार्य कृत - ताल दीपिका पुस्तक कितने भागों में प्रकाशित है ?,4,3,5,6,A,PER_c8ef8eb9,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,19,पखावज-वादक जिन्हें पद्मश्री पुरस्कार प्राप्त है :,पं. रमाकान्त पाठक,डॉ. राज खुशी राम,पं. पुरुषोत्तम दास,पं. डाल चन्द्र शर्मा,C,PER_184c81c0,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,20,भारत-भवन कहाँ स्थित है ?,उत्तर प्रदेश,मध्य प्रदेश,आन्ध्र प्रदेश,नई दिल्ली,B,PER_8bbd27b9,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,21,मृदंगम का खोड़ (काठ) मुख्यतः होता है :,आम की लकड़ी का,बबूल की लकड़ी का,कटहल की लकड़ी का,बीजा की लकड़ी का,C,PER_6701e7cc,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,22,अभिकथन (A) : दिल्ली घराना तबला वादन का प्रारंभिक घराना है। कारण (R) : क्योंकि पण्डित राम सहाय दिल्ली के तबला घराना के निवासी थे। कूट :,(A) सही है तथा (R) ग़लत है।,(A) ग़लत है तथा (R) सही है।,(A) तथा (R) दोनों सही हैं।,(A) तथा (R) दोनों ग़लत हैं।,A,PER_c457d075,Assertion and Reason
Percussion Instruments,Question Papers of NET December 2015,Paper III,23,आधुनिक स्टाफ नोटेशन में कितने क्लैफ प्रचलित हैं ?,दो,तीन,चार,पाँच,A,PER_00b41913,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,24,सुमेलित कीजिए : (a) रस कौमुदी (i) पार्श्व देव (b) बृहद् देशी (ii) श्री कण्ठ (c) भरत-भाष्यम (iii) मतंग (d) संगीत समय सार (iv) नान्य देव कूट : (a) (b) (c) (d),(iii) (iv) (i),(i) (ii) (iii) (iv),(iv) (iii) (ii) (i),(ii) (iii) (i) (iv),A,PER_114c76e0,Match the List
Percussion Instruments,Question Papers of NET December 2015,Paper III,25,हरिवल्लभ संगीत समारोह कहाँ आयोजित होता है ?,अमृतसर,जालंधर,चन्डीगढ़,नई दिल्ली,B,PER_4d2134b2,Normal MCQ
